2020-02-27 00:50:11,565::kawaii_player:main: DEBUG   - Bitstream Vera Sans14
2020-02-27 00:50:11,580::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:50:11,582::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:50:11,582::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:53:21,537::kawaii_player:update_video_dict_criteria: INFO    - {'anime': 'Anime', 'movies': 'Movies', 'tv shows': 'TV Shows', 'cartoons': 'Cartoons', 'others': 'Others'}::['Anime', 'Movies', 'TV Shows', 'Cartoons', 'Others']::--1808--
2020-02-27 00:53:21,547::kawaii_player:main: INFO    - [1, 6, 0, 0, 0]
2020-02-27 00:53:21,547::kawaii_player:main: INFO    - [0, 0, 0]
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - fs=False
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #BROWSER_BACKEND=QTWEBENGINE,QTWEBKIT
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #GET_LIBRARY=pycurl,curl,wget
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #IMAGE_FIT_OPTION=0-9
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #YTDL_PATH=default,automatic
2020-02-27 00:53:21,548::kawaii_player:main: INFO    - mpv_conf: False
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #THEME=default,system,dark
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #EXTRA_PLAYERS=vlc,kodi etc..
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #GLOBAL_FONT=Name of Font
2020-02-27 00:53:21,548::kawaii_player:main: DEBUG   - #THUMBNAIL_TEXT_COLOR/LIST_TEXT_COLOR=red,green,blue,yellow, gray,white,black,cyan,magenta,darkgray,lightgray,darkred, darkblue,darkyellow,transparent
2020-02-27 00:53:21,549::kawaii_player:main: DEBUG   - #For Dark Theme, use lightgray, if white color looks bright
2020-02-27 00:53:21,558::kawaii_player:main: DEBUG   - Ubuntu Mono14
2020-02-27 00:53:21,572::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:53:21,574::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:53:21,574::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:53:42,520::kawaii_player:update_video_dict_criteria: INFO    - {'anime': 'Anime', 'movies': 'Movies', 'tv shows': 'TV Shows', 'cartoons': 'Cartoons', 'others': 'Others'}::['Anime', 'Movies', 'TV Shows', 'Cartoons', 'Others']::--1808--
2020-02-27 00:53:42,531::kawaii_player:main: INFO    - [1, 6, 0, 0, 0]
2020-02-27 00:53:42,531::kawaii_player:main: INFO    - [0, 0, 0]
2020-02-27 00:53:42,531::kawaii_player:main: DEBUG   - fs=False
2020-02-27 00:53:42,531::kawaii_player:main: DEBUG   - #BROWSER_BACKEND=QTWEBENGINE,QTWEBKIT
2020-02-27 00:53:42,531::kawaii_player:main: DEBUG   - #GET_LIBRARY=pycurl,curl,wget
2020-02-27 00:53:42,532::kawaii_player:main: DEBUG   - #IMAGE_FIT_OPTION=0-9
2020-02-27 00:53:42,532::kawaii_player:main: DEBUG   - #YTDL_PATH=default,automatic
2020-02-27 00:53:42,532::kawaii_player:main: INFO    - mpv_conf: False
2020-02-27 00:53:42,532::kawaii_player:main: DEBUG   - #THEME=default,system,dark
2020-02-27 00:53:42,532::kawaii_player:main: DEBUG   - #EXTRA_PLAYERS=vlc,kodi etc..
2020-02-27 00:53:42,532::kawaii_player:main: DEBUG   - #GLOBAL_FONT=Name of Font
2020-02-27 00:53:42,532::kawaii_player:main: DEBUG   - #THUMBNAIL_TEXT_COLOR/LIST_TEXT_COLOR=red,green,blue,yellow, gray,white,black,cyan,magenta,darkgray,lightgray,darkred, darkblue,darkyellow,transparent
2020-02-27 00:53:42,532::kawaii_player:main: DEBUG   - #For Dark Theme, use lightgray, if white color looks bright
2020-02-27 00:53:42,541::kawaii_player:main: DEBUG   - Ubuntu Mono14
2020-02-27 00:53:42,555::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:53:42,557::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
2020-02-27 00:53:42,557::stylesheet:apply_stylesheet: DEBUG   - min-height-box=height: 32px
